photo_id,site,depth,net,preservation_method,family,subgroup,standard_length,caudal_fin_length,stage,damaged,not_calibrated
EZ02_5_E_001_SYD,2,100,5,ethanol,synodontid,A,17.37,1.48,POS,,
EZ02_5_E_002_MUL,2,100,5,ethanol,mullid,A,7.07,1.01,POS,,
EZ02_5_E_002_MUL,2,100,5,ethanol,mullid,A,10.58,2.3,POS,,
EZ02_5_E_003_POM,2,100,5,ethanol,pomacentrid,A,6.55,1.44,FLE,,
EZ02_5_E_003_POM,2,100,5,ethanol,pomacentrid,B,6.16,1.96,POS,,
EZ02_5_E_004_SER,2,100,5,ethanol,serranid,E,6.08,1.22,POS,,
EZ02_5_E_004_SER,2,100,5,ethanol,serranid,E,4.69,0.52,FLE,,
EZ02_5_E_005_LAB,2,100,5,ethanol,labrid,A,7.76,1.75,POS,,
EZ02_5_E_006_LAB,2,100,5,ethanol,labrid,H,4.3,0.67,POS,,
EZ02_5_E_006_LAB,2,100,5,ethanol,labrid,H,4.86,1.41,POS,,
EZ02_5_E_006_LAB,2,100,5,ethanol,labrid,E,5.8,1.22,POS,,
EZ02_5_E_006_LAB,2,100,5,ethanol,labrid,H,5.48,1.7,POS,,
EZ02_5_E_007_MUL,2,100,5,ethanol,mullid,A,NA,NA,FLE,TRUE,
EZ02_5_E_007_MUL,2,100,5,ethanol,mullid,A,3.84,0.37,FLE,,
EZ02_5_E_008_POM,2,100,5,ethanol,pomacentrid,C,4.93,0,PRE,,
EZ02_5_E_009_LAB,2,100,5,ethanol,labrid,H,5.02,1.43,POS,,
EZ02_5_E_009_LAB,2,100,5,ethanol,labrid,H,4.35,1.34,POS,,
EZ02_5_E_010_LAB,2,100,5,ethanol,labrid,H,4.73,1.45,POS,,
EZ02_5_E_010_LAB,2,100,5,ethanol,labrid,H,5.7,0.68,POS,,
EZ02_5_F_001_POM,2,100,5,formalin,pomacentrid,A,2.86,0,PRE,,
EZ02_5_F_001_POM,2,100,5,formalin,pomacentrid,A,2.62,0,PRE,,
EZ02_5_F_002_SCO,2,100,5,formalin,scorpaenid,A,3.7,0.76,FLE,,
EZ02_5_F_002_SCO,2,100,5,formalin,scorpaenid,A,1.81,0,PRE,,
EZ02_5_F_003_MUL,2,100,5,formalin,mullid,A,3.85,0,PRE,,
EZ02_5_F_003_MUL,2,100,5,formalin,mullid,A,4.22,0,FLE,,
EZ02_5_F_004_SER,2,100,5,formalin,serranid,C,2.57,0,PRE,,
