Order,Family,Species,Occurrence,FishBase name,Name
Scorpaeniformes,Dactylopteridae,Dactyloptena orientalis,native ,Oriental flying gurnard ,Purple flying gurnard 
Myliobatiformes,Dasyatidae,Himantura fai,native ,Pink whipray ,Pink whipray 
Myliobatiformes,Dasyatidae,Himantura uarnak,native ,Honeycomb stingray ,Yidi 
Myliobatiformes,Dasyatidae,Neotrygon kuhlii,native ,Blue-spotted stingray ,Bluespotted maskray 
Myliobatiformes,Dasyatidae,Pastinachus sephen,native ,Cowtail stingray ,Gundurru 
Perciformes,Echeneidae,Echeneis naucrates,native ,Live sharksucker ,Sharksucker 
Perciformes,Echeneidae,Remora remora,native ,Shark sucker ,Remora 
Perciformes,Enoplosidae,Enoplosus armatus,native ,Old wife ,Old wife 
Syngnathiformes,Fistulariidae,Fistularia commersonii,native ,Bluespotted cornetfish ,Smooth flutemouth 
Syngnathiformes,Fistulariidae,Fistularia petimba,native ,Red cornetfish ,Rough flutemouth 
Gobiesociformes,Gobiesocidae,Lepadichthys frenatus,native ,,
Perciformes,Gobiidae,Amblygobius phalaena,native ,Whitebarred goby ,Banded goby 
Perciformes,Gobiidae,Asterropteryx semipunctata,native ,Starry goby ,Starry goby 
Perciformes,Gobiidae,Bathygobius cocosensis,native ,Cocos frill-goby ,Cocos goby 
Perciformes,Gobiidae,Bathygobius cyclopterus,native ,Spotted frillgoby ,Cyclops frillgoby 
Perciformes,Gobiidae,Bryaninops loki,native ,Loki whip-goby ,Loki whip-goby 
Perciformes,Gobiidae,Callogobius depressus,native ,Flathead goby ,Flathead goby 
Perciformes,Gobiidae,Callogobius hasseltii,native ,Hasselt's goby ,
Perciformes,Gobiidae,Callogobius maculipinnis,native ,Ostrich goby ,Ostrich goby 
Perciformes,Gobiidae,Callogobius mucosus,native ,Sculptured goby ,Sculptured goby 
Perciformes,Gobiidae,Eviota hoesei,native ,Doug's Eviota ,Doug's Eviota 
Perciformes,Gobiidae,Eviota infulata,native ,Epaulet dwarfgoby ,Shouldermark Eviota 
Perciformes,Gobiidae,Eviota prasina,native ,Rubble Eviota ,Rubble Eviota 
Perciformes,Gobiidae,Eviota readerae,native ,Sally's eviota ,Sally's eviota 
Perciformes,Gobiidae,Eviota sparsa,native ,Speckled dwarfgoby ,Sparse eviota 
Perciformes,Gobiidae,Fusigobius duospilus,native ,Barenape goby ,Twospot sandgoby 
Perciformes,Gobiidae,Fusigobius neophytus,native ,Common fusegoby ,Neophyte sandgoby 
Perciformes,Gobiidae,Gnatholepis anjerensis,native ,Eye-bar goby ,Eye-bar sand-goby 
Perciformes,Gobiidae,Gnatholepis cauerensis,native ,Eyebar goby ,Bridled goby 
Perciformes,Gobiidae,Gobiodon okinawae,native ,Okinawa goby ,Okinawa goby 
Perciformes,Gobiidae,Istigobius decoratus,native ,Decorated goby ,Decorated sandgoby 
Perciformes,Gobiidae,Macrodontogobius wilburi,native ,Largetooth goby ,Wilbur's goby 
Perciformes,Gobiidae,Paragobiodon lacunicolus,native ,Blackfin coral goby ,Blackfin coralgoby 
Perciformes,Gobiidae,Paragobiodon modestus,native ,Warthead goby ,Redhead goby 
Perciformes,Gobiidae,Paragobiodon xanthosoma,native ,Emerald coral goby ,Yellow coral goby 
Perciformes,Gobiidae,Pleurosicya mossambica,native ,Toothy goby ,Mozambique ghostgoby 
Perciformes,Gobiidae,Priolepis akihitoi,native ,Emperor reefgoby ,Emperor reefgoby 
Perciformes,Gobiidae,Priolepis cincta,native ,Girdled goby ,Banded reef goby 
Perciformes,Gobiidae,Priolepis cyanocephala,native ,,
Perciformes,Gobiidae,Priolepis nuchifasciata,native ,Orange reef-goby ,Orange reef-goby 
Perciformes,Gobiidae,Trimma caesiura,native ,Caesiura goby ,Caesiura pygmy goby 
Perciformes,Gobiidae,Trimma necopina,native ,Orange-speckled pygmy-goby ,Australian pygmy goby 
Perciformes,Gobiidae,Valenciennea helsdingenii,native ,Twostripe goby ,Blacklined glider goby 
Perciformes,Gobiidae,Valenciennea immaculata,native ,Red-lined sleeper ,Immaculate glider goby 
Perciformes,Gobiidae,Valenciennea longipinnis,native ,Long-finned goby ,Long-finned goby 
Perciformes,Gobiidae,Valenciennea strigata,native ,Blueband goby ,Blueband glider goby 
Perciformes,Haemulidae,Diagramma pictum,native ,Painted sweetlips ,Painted sweetlips 
Perciformes,Haemulidae,Plectorhinchus albovittatus,questionable ,Two-striped sweetlips ,Giant sweetlips 
Perciformes,Haemulidae,Plectorhinchus flavomaculatus,native ,Lemonfish ,Goldspotted sweetlips 
Perciformes,Haemulidae,Plectorhinchus gibbosus,native ,Harry hotlips ,Brown sweetlips 
Perciformes,Haemulidae,Plectorhinchus picus,native ,Painted sweetlip ,Dotted sweetlips 
