HABITAT,PATCH_NUM,REGION,,,,,,,,,,
Other,847,NSW16,,,,,,,,,,
Other,849,NSW16,,,,,,,,,,
Reef,853,NSW16,,,,,,,,,,
Other,856,NSW16,,,,,,,,,,
Reef,859,NSW16,,,,,,,,,,
Other,860,NSW16,,,,,,,,,,
Reef,864,NSW16,,,,,,,,,,
Reef,865,NSW16,,,,,,,,,,
Other,868,NSW16,,,,,,,,,,
Reef,872,NSW16,,,,,,,,,,
Other,873,NSW16,,,,,,,,,,
Reef,878,NSW16,,,,,,,,,,
Other,881,NSW16,,,,,,,,,,
Reef,883,NSW16,,,,,,,,,,
Other,884,NSW17,,,,,,,,,,
Reef,889,NSW17,,,,,,,,,,
Other,890,NSW17,,,,,,,,,,
Reef,896,NSW17,,,,,,,,,,
Other,899,NSW17,,,,,,,,,,
Other,901,NSW17,,,,,,,,,,
Reef,902,NSW17,,,,,,,,,,
Other,908,NSW17,,,,,,,,,,
Reef,910,NSW17,,,,,,,,,,
Reef,911,NSW17,,,,,,,,,,
Other,912,NSW17,,,,,,,,,,
Other,918,NSW17,,,,,,,,,,
Reef,920,NSW17,,,,,,,,,,
Reef,921,NSW17,,,,,,,,,,
Reef,922,NSW18,,,,,,,,,,
Other,923,VIC,,,,,,,,,,
Other,924,VIC,,,,,,,,,,
Other,925,VIC,,,,,,,,,,
Other,926,VIC,,,,,,,,,,
Other,927,VIC,,,,,,,,,,
Other,928,VIC,,,,,,,,,,
Other,929,VIC,,,,,,,,,,
Other,930,VIC,,,,,,,,,,
Other,931,VIC,,,,,,,,,,
Other,932,VIC,,,,,,,,,,
Other,933,VIC,,,,,,,,,,
Other,934,VIC,,,,,,,,,,
Other,935,VIC,,,,,,,,,,
Other,936,VIC,,,,,,,,,,
Other,937,VIC,,,,,,,,,,
Other,938,VIC,,,,,,,,,,
Other,939,VIC,,,,,,,,,,
Other,940,VIC,,,,,,,,,,
Other,941,VIC,,,,,,,,,,
Other,942,VIC,,,,,,,,,,
Other,943,VIC,,,,,,,,,,
Other,944,VIC,,,,,,,,,,
Other,945,VIC,,,,,,,,,,
Other,946,VIC,,,,,,,,,,
Other,947,VIC,,,,,,,,,,
Other,948,VIC,,,,,,,,,,
Other,949,VIC,,,,,,,,,,
Other,950,VIC,,,,,,,,,,
Other,951,VIC,,,,,,,,,,
Other,952,VIC,,,,,,,,,,
Other,953,VIC,,,,,,,,,,
Other,954,VIC,,,,,,,,,,
Other,955,VIC,,,,,,,,,,
Other,956,VIC,,,,,,,,,,
Other,957,VIC,,,,,,,,,,
Other,958,VIC,,,,,,,,,,
Other,959,VIC,,,,,,,,,,
Other,960,VIC,,,,,,,,,,
Other,961,VIC,,,,,,,,,,
Other,962,VIC,,,,,,,,,,
Other,963,VIC,,,,,,,,,,
Other,964,VIC,,,,,,,,,,
Other,965,VIC,,,,,,,,,,
Other,966,VIC,,,,,,,,,,
Other,967,VIC,,,,,,,,,,
Other,968,VIC,,,,,,,,,,
Other,969,VIC,,,,,,,,,,
Other,970,VIC,,,,,,,,,,
Other,971,VIC,,,,,,,,,,
Other,972,VIC,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
